id,sepal_length,sepal_width,petal_length,petal_width,class,symbol,angiosperms
1,5.1,3.5,1.4,0.2,Iris-setosa,IRSE,Dicot
2,4.9,3.0,1.4,0.2,Iris-setosa,IRSE,Dicot
3,4.7,3.2,1.3,0.2,Iris-setosa,IRSE,Dicot
4,4.6,3.1,1.5,0.2,Iris-setosa,IRSE,Dicot
5,5.0,3.6,1.4,0.2,Iris-setosa,IRSE,Dicot
6,5.4,3.9,1.7,0.4,Iris-setosa,IRSE,Dicot
7,4.6,3.4,1.4,0.3,Iris-setosa,IRSE,Dicot
8,5.0,3.4,1.5,0.2,Iris-setosa,IRSE,Dicot
9,4.4,2.9,1.4,0.2,Iris-setosa,IRSE,Dicot
10,4.9,3.1,1.5,0.1,Iris-setosa,IRSE,Dicot
11,5.4,3.7,1.5,0.2,Iris-setosa,IRSE,Dicot
12,4.8,3.4,1.6,0.2,Iris-setosa,IRSE,Dicot
13,4.8,3.0,1.4,0.1,Iris-setosa,IRSE,Dicot
14,4.3,3.0,1.1,0.1,Iris-setosa,IRSE,Dicot
15,5.8,4.0,1.2,0.2,Iris-setosa,IRSE,Dicot
16,5.7,4.4,1.5,0.4,Iris-setosa,IRSE,Dicot
17,5.4,3.9,1.3,0.4,Iris-setosa,IRSE,Dicot
18,5.1,3.5,1.4,0.3,Iris-setosa,IRSE,Dicot
19,5.7,3.8,1.7,0.3,Iris-setosa,IRSE,Dicot
20,5.1,3.8,1.5,0.3,Iris-setosa,IRSE,Dicot
21,5.4,3.4,1.7,0.2,Iris-setosa,IRSE,Dicot
22,5.1,3.7,1.5,0.4,Iris-setosa,IRSE,Dicot
23,4.6,3.6,1.0,0.2,Iris-setosa,IRSE,Dicot
24,5.1,3.3,1.7,0.5,Iris-setosa,IRSE,Dicot
25,4.8,3.4,1.9,0.2,Iris-setosa,IRSE,Dicot
26,5.0,3.0,1.6,0.2,Iris-setosa,IRSE,Dicot
